calibration,variant,min_run,radius,window,quantile,held_out_recording,threshold,train_nonzero_notes,hard_count,hard_percentage_all_notes,hard_percentage_assigned_notes,gt_error_recall,assigned_gt_error_recall,gt_precision,assigned_gt_precision,error_enrichment,incremental_count_beyond_physical,incremental_errors_beyond_physical
fixed,ni_k2_r1,2.0,1.0,,,,,,21651,0.042568041822889736,0.04984425827572156,0.015306122448979591,0.05128205128205128,0.08450704225352113,0.08450704225352113,0.38804254096004603,21651,6
fixed,ni_k2_r2,2.0,2.0,,,,,,40529,0.0796840869724215,0.09330460226579461,0.03571428571428571,0.11965811965811966,0.109375,0.109375,0.5022321428571429,40529,14
fixed,ni_k2_r4,2.0,4.0,,,,,,72373,0.1422925911435037,0.1666148678670175,0.05357142857142857,0.1794871794871795,0.09375,0.09375,0.43048469387755106,72373,21
fixed,ni_k3_r1,3.0,1.0,,,,,,5397,0.010611044372922077,0.012424805409175985,0.00510204081632653,0.017094017094017096,0.11764705882352941,0.11764705882352941,0.5402160864345739,5397,2
fixed,ni_k3_r2,3.0,2.0,,,,,,10476,0.020596868788351246,0.02411752111664399,0.012755102040816327,0.042735042735042736,0.15151515151515152,0.15151515151515152,0.6957328385899815,10476,5
fixed,ni_k3_r4,3.0,4.0,,,,,,19824,0.03897597621804841,0.04563819574421062,0.02295918367346939,0.07692307692307693,0.140625,0.140625,0.6457270408163266,19824,9
fixed,ni_k5_r1,5.0,1.0,,,,,,580,0.0011403382872512146,0.0013352579465114084,0.0,0.0,,,,580,0
fixed,ni_k5_r2,5.0,2.0,,,,,,1149,0.002259049469054561,0.002645192035416566,0.0,0.0,,,,1149,0
fixed,ni_k5_r4,5.0,4.0,,,,,,2247,0.004417827812850826,0.00517297345829506,0.0,0.0,,,,2247,0
training_fold,ni_w5_q995,,,5.0,0.995,2024-02-15_20-07-54,0.7789999999999964,822.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q995,,,5.0,0.995,2024-02-15_21-40-43,0.8,862.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q995,,,5.0,0.995,2024-02-15_21-57-38,0.8,798.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q995,,,5.0,0.995,2024-02-17_21-44-37,0.8,826.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q995,,,5.0,0.995,2024-02-17_22-33-45,0.8,723.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q995,,,5.0,0.995,2024-02-22_11-58-09,0.8,896.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q995,,,5.0,0.995,2024-03-11_22-23-29,0.8,880.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q995,,,5.0,0.995,2024-04-08_22-49-18,0.8,855.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q995,,,5.0,0.995,2024-09-02_14-10-41,0.8,854.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q995,,,5.0,0.995,2024-09-04_19-52-57,0.8,822.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q995,,,5.0,0.995,2024-09-05_13-25-10,0.8,882.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q990,,,5.0,0.99,2024-02-15_20-07-54,0.6,822.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q990,,,5.0,0.99,2024-02-15_21-40-43,0.8,862.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q990,,,5.0,0.99,2024-02-15_21-57-38,0.8,798.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q990,,,5.0,0.99,2024-02-17_21-44-37,0.8,826.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q990,,,5.0,0.99,2024-02-17_22-33-45,0.7559999999999946,723.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q990,,,5.0,0.99,2024-02-22_11-58-09,0.8,896.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q990,,,5.0,0.99,2024-03-11_22-23-29,0.8,880.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q990,,,5.0,0.99,2024-04-08_22-49-18,0.8,855.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q990,,,5.0,0.99,2024-09-02_14-10-41,0.8,854.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q990,,,5.0,0.99,2024-09-04_19-52-57,0.8,822.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q990,,,5.0,0.99,2024-09-05_13-25-10,0.8,882.0,785,0.0015433888887796611,0.0018072025655369924,0.0,0.0,0.0,0.0,0.0,785,0
training_fold,ni_w5_q975,,,5.0,0.975,2024-02-15_20-07-54,0.6,822.0,8627,0.016961548972614187,0.019860810869920552,0.012755102040816327,0.042735042735042736,0.15151515151515152,0.15151515151515152,0.6957328385899815,8627,5
training_fold,ni_w5_q975,,,5.0,0.975,2024-02-15_21-40-43,0.6,862.0,8627,0.016961548972614187,0.019860810869920552,0.012755102040816327,0.042735042735042736,0.15151515151515152,0.15151515151515152,0.6957328385899815,8627,5
training_fold,ni_w5_q975,,,5.0,0.975,2024-02-15_21-57-38,0.6,798.0,8627,0.016961548972614187,0.019860810869920552,0.012755102040816327,0.042735042735042736,0.15151515151515152,0.15151515151515152,0.6957328385899815,8627,5
